Region,Prefecture,City,Link,Description,Rating,Visits,Rating_Normalized,Visits_Normalized,Balanced_Score,Popular_Score,Hidden_Gem_Score
Hokkaido,Cities and Resort Towns,Niseko,https://www.japan-guide.com/e/e6720.html,Leading snow resort with lots of powder snow.,4.1,373,0.8541666666666666,0.03053372626064178,0.4423501964636542,0.3159109126009605,0.8945215291421087
Hokkaido,Cities and Resort Towns,Sapporo,https://www.japan-guide.com/e/e2163.html,The largest city on the island of Hokkaido.,4.0,2572,0.8333333333333334,0.210543549443353,0.5219384413883432,0.4057110892818162,0.8179764243614932
Hokkaido,Cities and Resort Towns,Furano,https://www.japan-guide.com/e/e6825.html,Towns with beautiful lavender and flower fields.,4.0,886,0.8333333333333334,0.07252783235101506,0.45293058284217425,0.3309525758567998,0.8662819253438114
Hokkaido,Cities and Resort Towns,Noboribetsu,https://www.japan-guide.com/e/e6750.html,Hokkaido's most famous hot spring resort.,4.0,619,0.8333333333333334,0.05067125081859856,0.442002292075966,0.3191135941934075,0.8739317288801572
Hokkaido,Cities and Resort Towns,Hakodate,https://www.japan-guide.com/e/e5350.html,Southernmost city on Hokkaido.,3.9,1408,0.8125,0.11525867714472822,0.46387933857236413,0.34524598886705954,0.8377844629993452
Hokkaido,Cities and Resort Towns,Otaru,https://www.japan-guide.com/e/e6700.html,Harbor city near Sapporo with a canal.,3.9,1421,0.8125,0.11632285527177472,0.4644114276358874,0.345808007940406,0.8374120006548789
Hokkaido,Cities and Resort Towns,Matsumae,https://www.japan-guide.com/e/e5380.html,The only former castle town on Hokkaido.,3.6,39,0.75,0.0031925343811394892,0.37659626719056977,0.2640563605108055,0.8363826129666012
Hokkaido,Cities and Resort Towns,Asahikawa,https://www.japan-guide.com/e/e6890.html,City in central Hokkaido famous for its zoo.,3.5,638,0.7291666666666667,0.05222658808120498,0.39069662737393585,0.27996155997598776,0.8056790275049116
Hokkaido,Cities and Resort Towns,Rusutsu,https://www.japan-guide.com/e/e6715.html,Attractive ski resort near Niseko.,3.4,146,0.7083333333333334,0.01195153896529142,0.3601424361493124,0.2534193543986029,0.8062336280288147
Hokkaido,Cities and Resort Towns,Jozankei Onsen,https://www.japan-guide.com/e/e6745.html,Hot spring resort in the mountains outside central Sapporo.,3.4,204,0.7083333333333334,0.01669941060903733,0.36251637197118536,0.2556053536345776,0.8045718729535036
Hokkaido,Cities and Resort Towns,Tomamu,https://www.japan-guide.com/e/e6845.html,Large ski resort in central Hokkaido.,3.3,58,0.6875,0.004747871643745907,0.34612393582187295,0.24274670514079894,0.7952132449246889
Hokkaido,Cities and Resort Towns,Kushiro,https://www.japan-guide.com/e/e6790.html,City in eastern Hokkaido near a large marshland,3.2,337,0.6666666666666667,0.027586771447282252,0.3471267190569745,0.245287600960489,0.7736779633267845
Hokkaido,Cities and Resort Towns,Abashiri,https://www.japan-guide.com/e/e6865.html,Known for its prison and drift ice in winter.,3.0,500,0.625,0.040929927963326784,0.3329649639816634,0.23537778323510147,0.7419245252128356
Hokkaido,Cities and Resort Towns,Kiroro Ski Resort,https://www.japan-guide.com/e/e6716.html,Ski resort between Sapporo and Niseko.,0.0,4,0.0,0.0003274394237066143,0.00016371971185330714,0.0,0.34988539620170267
Hokkaido,National Parks,Shiretoko,https://www.japan-guide.com/e/e6850.html,National park on an unspoiled peninsula.,4.3,360,0.8958333333333334,0.029469548133595286,0.4626514407334643,0.3307015389652914,0.9219773248199084
Hokkaido,National Parks,Rishiri and Rebun,https://www.japan-guide.com/e/e6875.html,Small islands near Hokkaido's northern tip.,4.3,115,0.8958333333333334,0.00941388343156516,0.45262360838244925,0.31902329253983847,0.928996807465619
Hokkaido,National Parks,Daisetsuzan,https://www.japan-guide.com/e/e6775.html,Hokkaido's largest and wildest national park.,4.1,363,0.8541666666666666,0.029715127701375247,0.44194089718402096,0.31545641985920103,0.8948080386378519
Hokkaido,National Parks,Onuma Park,https://www.japan-guide.com/e/e5356.html,National park 20 kilometers north of Hakodate.,3.8,147,0.7916666666666666,0.012033398821218075,0.4018500327439424,0.28327551981008514,0.8603716437459069
Hokkaido,National Parks,Akan Mashu National Park,https://www.japan-guide.com/e/e6800.html,National park with beautiful lakes.,3.7,511,0.7708333333333334,0.041830386378519976,0.4063318598559267,0.29075043317507093,0.8364010314341848
Hokkaido,National Parks,Lake Toya,https://www.japan-guide.com/e/e6725.html,"Site of Mount Usu, an active volcano.",3.6,437,0.75,0.03577275703994761,0.3928863785199738,0.27993921905697444,0.8249795350360183
Hokkaido,National Parks,Lake Shikotsu,https://www.japan-guide.com/e/e6736.html,Picturesque caldera lake near Sapporo.,3.4,188,0.7083333333333334,0.01538965291421087,0.36186149312377214,0.2550023193625846,0.8050302881466929
Hokkaido,National Parks,Kushiro Marshlands,https://www.japan-guide.com/e/e6792.html,Marshlands populated by Japanese cranes.,3.2,325,0.6666666666666667,0.02660445317616241,0.3466355599214146,0.24486192970967038,0.7740217747216765
Tohoku,Aomori,Towada,https://www.japan-guide.com/e/e3776.html,Caldera lake famous for autumn colors.,4.0,382,0.8333333333333334,0.03127046496398166,0.4323018991486575,0.3086048351888234,0.8807220039292731
Tohoku,Aomori,Shimokita Hanto,https://www.japan-guide.com/e/e3725.html,Remote peninsula famed for Fear Mountain.,3.9,153,0.8125,0.012524557956777996,0.412512278978389,0.2909895321709233,0.8737414047151277
Tohoku,Aomori,Hirosaki,https://www.japan-guide.com/e/e3701.html,Former castle town in Northern Tohoku.,3.7,470,0.7708333333333334,0.03847413228552718,0.4046537328094303,0.289068810030561,0.8375757203667322
Tohoku,Aomori,Shirakami Sanchi,https://www.japan-guide.com/e/e3790.html,Mountain range with virgin beech forests.,3.9,118,0.8125,0.009659462999345121,0.4110797314996726,0.2894764038965291,0.8747441879502292
Tohoku,Aomori,Aomori,https://www.japan-guide.com/e/e3750.html,City best known for its Nebuta Matsuri.,3.5,813,0.7291666666666667,0.06655206286836936,0.39785936476751804,0.28675123813032094,0.8006651113294041
Tohoku,Akita,Hachimantai,https://www.japan-guide.com/e/e3651.html,Mountainous region with rustic hot springs.,3.8,261,0.7916666666666666,0.02136542239685658,0.4065160445317616,0.2880776236083824,0.8571054354944334
Tohoku,Akita,Kakunodate,https://www.japan-guide.com/e/e3601.html,City with nicely preserved samurai district.,3.7,371,0.7708333333333334,0.030370006548788474,0.40060166994106094,0.28500830536454924,0.8404121643745908
Tohoku,Akita,Kamakura Festival,https://www.japan-guide.com/e/e3690.html,Festival in Yokote with lots of small snow houses.,3.6,40,0.75,0.0032743942370661427,0.37663719711853305,0.2640962671905697,0.8363539620170268
Tohoku,Akita,Akita,https://www.japan-guide.com/e/e3625.html,Prefectural capital best known for its festival.,3.2,576,0.6666666666666667,0.047151277013752456,0.3569089718402096,0.2537655533726261,0.76683038637852
Tohoku,Iwate,Sanriku Coast,https://www.japan-guide.com/e/e5025.html,Pacific coastline that was hit by the 2011 tsunami.,4.0,200,0.8333333333333334,0.016371971185330715,0.42485265225933205,0.3005348177253874,0.885936476751801
Tohoku,Iwate,Hiraizumi,https://www.japan-guide.com/e/e5000.html,Tohoku's former cultural and political capital.,3.9,468,0.8125,0.03831041257367387,0.4254052062868369,0.3046076866404715,0.8647163555992142
Tohoku,Iwate,Appi Kogen,https://www.japan-guide.com/e/e5095.html,Leading ski resort in the Tohoku Region.,3.5,39,0.7291666666666667,0.0031925343811394892,0.36617960052390314,0.2567214616077276,0.8228409462999345
Tohoku,Iwate,Tono,https://www.japan-guide.com/e/e5060.html,Rural town known for its folktales and legends.,4.2,44,0.8750000000000001,0.003601833660772757,0.4393009168303864,0.3082985428945645,0.9174893582187296
Tohoku,Iwate,Kitakami,https://www.japan-guide.com/e/e5077.html,Popular cherry blossom spot in the Tohoku Region.,3.3,93,0.6875,0.007612966601178782,0.3475564833005894,0.24402704444990175,0.7942104616895874
Tohoku,Iwate,Morioka,https://www.japan-guide.com/e/e5050.html,Prefectural capital famous for noodle dishes.,3.0,204,0.625,0.01669941060903733,0.3208497053045187,0.22553413555992138,0.7504052062868369
Tohoku,Yamagata,Yamadera,https://www.japan-guide.com/e/e7940.html,Scenic temple on a steep mountainside.,4.5,403,0.9375,0.03298952193844139,0.4852447609692207,0.3482279899312377,0.9478286673215455
Tohoku,Yamagata,Dewa Sanzan,https://www.japan-guide.com/e/e7900.html,Three sacred mountains with shrines.,4.4,156,0.9166666666666667,0.012770137524557957,0.4647184020956123,0.3284422069417158,0.9413637851997381
Tohoku,Yamagata,Ginzan Onsen,https://www.japan-guide.com/e/e7975.html,"One of Japan's nicest, old-fashioned onsen towns.",4.1,65,0.8541666666666666,0.005320890635232482,0.42974377865094954,0.3019125361547697,0.9033460216110019
Tohoku,Yamagata,Zao,https://www.japan-guide.com/e/e7925.html,Volcano with hot spring and ski resort.,3.9,455,0.8125,0.03724623444662738,0.42487311722331367,0.3040456675671251,0.8650888179436804
Tohoku,Yamagata,Kaminoyama Onsen,https://www.japan-guide.com/e/e7980.html,Onsen town with castle and fruit farms.,3.7,28,0.7708333333333334,0.0022920759659463,0.3865627046496398,0.270940092228771,0.8502394400785855
Tohoku,Yamagata,Sakata,https://www.japan-guide.com/e/e7990.html,Commercial center at the Sea of Japan coast.,3.5,21,0.7291666666666667,0.001719056974459725,0.36544286182056324,0.2560230947118533,0.8233566633922724
Tohoku,Miyagi,Matsushima,https://www.japan-guide.com/e/e5100.html,Scenic bay dotted by pine clad islets.,4.0,931,0.8333333333333334,0.07621152586771447,0.45477242960052394,0.332947909845012,0.8649926326129667
Tohoku,Miyagi,Naruko Gorge,https://www.japan-guide.com/e/e5177.html,Forested gorge famous for its autumn colors.,3.6,78,0.75,0.0063850687622789785,0.3781925343811395,0.265612721021611,0.8352652259332024
Tohoku,Miyagi,Sendai,https://www.japan-guide.com/e/e5150.html,Largest city in the Tohoku Region.,3.5,1675,0.7291666666666667,0.13711525867714472,0.4331409626719057,0.32019525281052175,0.7759679927963328
Tohoku,Fukushima,Ouchijuku,https://www.japan-guide.com/e/e7710.html,Former post town along a trade route.,4.1,132,0.8541666666666666,0.010805500982318271,0.43248608382449244,0.3049576375245579,0.9014264079895219
Tohoku,Fukushima,Oze National Park,https://www.japan-guide.com/e/e7440.html,Popular hiking destination with a marshland.,3.9,191,0.8125,0.01563523248199083,0.4140676162409954,0.2926323571545514,0.8726526686313032
Tohoku,Fukushima,Aizu,https://www.japan-guide.com/e/e7700.html,Small city known for its samurai history.,3.7,660,0.7708333333333334,0.054027504911591355,0.41243041912246237,0.2968616977734119,0.8321320399476098
Tohoku,Fukushima,Bandai,https://www.japan-guide.com/e/e7750.html,Volcanic mountains with beautiful highlands.,3.4,206,0.7083333333333334,0.016863130320890634,0.362598231827112,0.25568073291857674,0.804514571054355
Tohoku,Fukushima,Fukushima,https://www.japan-guide.com/e/e7725.html,Prefectural capital with a few attractions.,3.3,274,0.6875,0.022429600523903078,0.35496480026195154,0.25064822773411916,0.7890246398166338
Tohoku,Fukushima,Iwaki,https://www.japan-guide.com/e/e7775.html,City famous for its Hawaiian water park resort.,2.7,141,0.5625000000000001,0.011542239685658153,0.28702111984282913,0.2010951313850688,0.7115852161100198
Kanto,Tokyo Metropolis,Tokyo,https://www.japan-guide.com/e/e2164.html,Japan's capital and largest city.,4.6,12216,0.9583333333333333,1.0,0.9791666666666666,0.9583333333333333,0.6229166666666667
Kanto,Tokyo Metropolis,Ogasawara Islands,https://www.japan-guide.com/e/e8200.html,Remote islands 1000 kilometers south of Tokyo.,4.5,53,0.9375,0.004338572364112639,0.4709192861820563,0.33076881753438114,0.9578564996725606
Kanto,Tokyo Metropolis,Izu Oshima,https://www.japan-guide.com/e/e8252.html,The largest island among the Izu Islands.,3.8,122,0.7916666666666666,0.009986902423051735,0.4008267845448592,0.282222426871862,0.8610879174852651
Kanto,Kanagawa,Kamakura,https://www.japan-guide.com/e/e2166.html,Small city full of historic treasures.,4.4,4277,0.9166666666666667,0.35011460379829734,0.6333906352324821,0.5294432847631522,0.8232932220039293
Kanto,Kanagawa,Hakone,https://www.japan-guide.com/e/e5200.html,National park with views of Mount Fuji.,4.1,3428,0.8541666666666666,0.28061558611656845,0.5673911263916176,0.4547584452084697,0.8069928781925344
Kanto,Kanagawa,Yokohama,https://www.japan-guide.com/e/e2156.html,Japan's second largest city.,4.0,4779,0.8333333333333334,0.39120825147347743,0.6122707924034054,0.5035711362148003,0.7547437786509497
Kanto,Kanagawa,Kawasaki,https://www.japan-guide.com/e/e3250.html,Sandwiched between Tokyo and Yokohama.,2.8,642,0.5833333333333334,0.05255402750491159,0.31794368041912247,0.2240934020956123,0.7107727570399476
Kanto,Chiba,Boso Peninsula,https://www.japan-guide.com/e/e6430.html,Large peninsula southeast of Tokyo.,3.4,109,0.7083333333333334,0.00892272429600524,0.3586280288146693,0.2520248376446191,0.8072937131630649
Kanto,Chiba,Narita,https://www.japan-guide.com/e/e6400.html,Site of Tokyo's international airport.,2.9,2085,0.6041666666666666,0.1706777996070727,0.38742223313686963,0.2784849275540275,0.6829711034708579
Kanto,Saitama,Chichibu,https://www.japan-guide.com/e/e6550.html,Rural city known for its festival and shrines.,3.6,87,0.75,0.00712180746561886,0.37856090373280943,0.26597188113948916,0.8350073673870334
Kanto,Saitama,Kawagoe,https://www.japan-guide.com/e/e6500.html,Former castle town known as the Little Edo.,3.4,1011,0.7083333333333334,0.08276031434184676,0.39554682383759004,0.2860208947282253,0.7814505566470203
Kanto,Saitama,Saitama,https://www.japan-guide.com/e/e6525.html,City north of Tokyo with a few places of interest.,3.0,711,0.625,0.058202357563850685,0.34160117878192536,0.24239470776031433,0.7358791748526523
Kanto,Gunma,Kusatsu Onsen,https://www.japan-guide.com/e/e7400.html,One of Japan's best hot spring towns.,4.0,631,0.8333333333333334,0.0516535690897184,0.4424934512115259,0.31964568325693077,0.8735879174852652
Kanto,Gunma,Oze National Park,https://www.japan-guide.com/e/e7440.html,Popular hiking destination with a marshland.,3.9,191,0.8125,0.01563523248199083,0.4140676162409954,0.2926323571545514,0.8726526686313032
Kanto,Gunma,Manza Onsen,https://www.japan-guide.com/e/e7495.html,Hot spring resort with Japan's most sulfuric waters.,3.8,71,0.7916666666666666,0.0058120497707924035,0.3987393582187295,0.2800741172778869,0.8625491159135559
Kanto,Gunma,Shima Onsen,https://www.japan-guide.com/e/e7435.html,Calm hot spring town in a mountain valley.,3.7,44,0.7708333333333334,0.003601833660772757,0.38721758349705304,0.2715963354071163,0.8497810248853963
Kanto,Gunma,Minakami,https://www.japan-guide.com/e/e7460.html,Popular hot spring and outdoor resort.,3.4,294,0.7083333333333334,0.02406679764243615,0.36620006548788475,0.2589974214145383,0.8019932874918141
Kanto,Gunma,Ikaho Onsen,https://www.japan-guide.com/e/e7475.html,Hot spring resort famous for its stone stairs.,3.3,358,0.6875,0.029305828421741977,0.358402914210871,0.2537210420759659,0.7866179600523904
Kanto,Gunma,Tomioka,https://www.japan-guide.com/e/e7415.html,Site of a Japan's first modern silk factory.,3.1,56,0.6458333333333334,0.0045841519318926,0.325208742632613,0.22796605544640908,0.7681872134905043
Kanto,Tochigi,Nikko,https://www.japan-guide.com/e/e3800.html,"Site of Nikko Toshogu, Ieyasu's mausoleum.",4.4,3329,0.9166666666666667,0.2725114603798297,0.5945890635232483,0.4832047451429819,0.8504543222003931
Kanto,Tochigi,Nasu-Shiobara,https://www.japan-guide.com/e/e3840.html,Resort area with hiking trails and hot springs.,3.2,226,0.6666666666666667,0.018500327439423706,0.34258349705304525,0.24135014189041695,0.7768582187295351
Kanto,Tochigi,Kinugawa Onsen,https://www.japan-guide.com/e/e3875.html,Hot spring resort with theme parks near Nikko.,3.2,543,0.6666666666666667,0.044449901768172886,0.3555582842174198,0.2525949574328749,0.7677758677144728
Kanto,Tochigi,Utsunomiya,https://www.japan-guide.com/e/e3860.html,Prefectural capital of Tochigi Prefecture.,2.8,77,0.5833333333333334,0.006303208906352325,0.2948182711198428,0.2065566333769919,0.7269605435494434
Kanto,Ibaraki,Mito,https://www.japan-guide.com/e/e6200.html,Prefectural capital known for its nice garden.,3.2,265,0.6666666666666667,0.021692861820563195,0.34417976424361496,0.2427335734555774,0.7757408316961363
Kanto,Ibaraki,Ushiku Daibutsu,https://www.japan-guide.com/e/e6242.html,Japan's tallest bronze statue of Buddha,0.0,14,0.0,0.00114603798297315,0.000573018991486575,0.0,0.34959888670595934
Kanto,Ibaraki,Fukuroda Falls,https://www.japan-guide.com/e/e6250.html,One of Japan's top three waterfalls.,0.0,10,0.0,0.0008185985592665357,0.00040929927963326783,0.0,0.34971349050425665
Chubu,Aichi,Nagoya,https://www.japan-guide.com/e/e2155.html,Japan's third largest economic center.,3.3,3561,0.6875,0.2915029469548134,0.4895014734774067,0.37089037942043224,0.6948489685658154
Chubu,Aichi,Inuyama,https://www.japan-guide.com/e/e3350.html,Former castle town north of Nagoya.,3.5,658,0.7291666666666667,0.05386378519973805,0.39151522593320237,0.2807375231936258,0.8051060085134251
Chubu,Shizuoka,Izu Peninsula,https://www.japan-guide.com/e/e6310.html,Hot springs and natural scenery.,3.8,1192,0.7916666666666666,0.09757694826457106,0.44462180746561886,0.32729480462781047,0.8304314014407335
Chubu,Shizuoka,Shizuoka,https://www.japan-guide.com/e/e6350.html,Prefectural capital with views of Mount Fuji.,3.3,739,0.6875,0.060494433529796984,0.3739972167648985,0.26765844998362803,0.7757019482645711
Chubu,Shizuoka,Fujinomiya,https://www.japan-guide.com/e/e6365.html,City at the southern base of Mount Fuji.,3.2,266,0.6666666666666667,0.02177472167648985,0.3442206941715783,0.2427690460598123,0.7757121807465619
Chubu,Shizuoka,Lake Hamanako,https://www.japan-guide.com/e/e6375.html,A seaside lake with hot spring baths.,2.6,493,0.5416666666666667,0.04035690897184021,0.29101178781925346,0.20379232836716876,0.6879584151931893
Chubu,Shizuoka,Kakegawa,https://www.japan-guide.com/e/e6340.html,Small city famous for tea.,0.0,20,0.0,0.0016371971185330713,0.0008185985592665357,0.0,0.34942698100851344
Chubu,Gifu,Shirakawago & Gokayama,https://www.japan-guide.com/e/e5950.html,"Mountainous region, known for its farmhouses.",4.5,1067,0.9375,0.08734446627373936,0.5124222331368696,0.38135053413555986,0.9288044368041912
Chubu,Gifu,Takayama,https://www.japan-guide.com/e/e5900.html,Preserves one of Japan's nicest old towns.,4.2,1703,0.8750000000000001,0.13940733464309102,0.5072036673215455,0.38553792157825806,0.8699574328749182
Chubu,Gifu,Okuhida,https://www.japan-guide.com/e/e5940.html,Hot springs in the mountains above Takayama.,4.0,263,0.8333333333333334,0.02152914210870989,0.42743123772102165,0.3033282853088845,0.8841314669286182
Chubu,Gifu,Gujo-Hachiman,https://www.japan-guide.com/e/e5930.html,Small town in rural Japan with castle.,3.8,267,0.7916666666666666,0.021856581532416503,0.4067616240995416,0.288330365913556,0.8569335297969874
Chubu,Gifu,Furukawa,https://www.japan-guide.com/e/e5975.html,Small town 15 minutes north of Takayama.,3.6,161,0.75,0.013179436804191225,0.3815897184020956,0.2689249754420432,0.8328871971185331
Chubu,Gifu,Gero Onsen,https://www.japan-guide.com/e/e5990.html,Famous hot spring resort south of Takayama.,3.7,400,0.7708333333333334,0.03274394237066143,0.4017886378519974,0.2861977461253002,0.8395812868369352
Chubu,Niigata,Sado Island,https://www.japan-guide.com/e/e7675.html,Large island off the coast of Niigata.,3.9,243,0.8125,0.019891944990176817,0.4161959724950884,0.29488043344793713,0.8711628192534382
Chubu,Niigata,Yuzawa,https://www.japan-guide.com/e/e7690.html,One of Japan's leading ski resort towns.,3.6,344,0.75,0.028159790438768827,0.3890798952193844,0.2762278978388998,0.827644073346431
Chubu,Niigata,Echigo Tsumari,https://www.japan-guide.com/e/e7650.html,Idyllic countryside staging modern art.,3.5,86,0.7291666666666667,0.007039947609692207,0.36810330713817946,0.25854497516917707,0.8214943516699411
Chubu,Niigata,Myoko,https://www.japan-guide.com/e/e7642.html,Volcano with multiple ski areas along its slopes,0.0,9,0.0,0.0007367387033398821,0.00036836935166994106,0.0,0.34974214145383103
Chubu,Nagano,Kamikochi,https://www.japan-guide.com/e/e6040.html,Popular mountain resort in the Japanese Alps.,4.4,530,0.9166666666666667,0.04338572364112639,0.48002619515389655,0.3466839936695045,0.9306483300589392
Chubu,Nagano,Kiso Valley,https://www.japan-guide.com/e/e6075.html,Valley with nicely preserved post towns.,4.4,567,0.9166666666666667,0.046414538310412576,0.48154060248853964,0.3484886624099542,0.9295882449246891
Chubu,Nagano,Yamanouchi,https://www.japan-guide.com/e/e6025.html,Home of hot spring bathing monkeys.,4.2,358,0.8750000000000001,0.029305828421741977,0.45215291421087106,0.32291768991486575,0.9084929600523903
Chubu,Nagano,Matsumoto,https://www.japan-guide.com/e/e6050.html,City famous for its beautiful original castle.,3.8,1366,0.7916666666666666,0.11182056319580877,0.4517436149312377,0.33462433147784326,0.8254461362148002
Chubu,Nagano,Hakuba,https://www.japan-guide.com/e/e6090.html,One of Japan's best ski resorts.,3.7,660,0.7708333333333334,0.054027504911591355,0.41243041912246237,0.2968616977734119,0.8321320399476098
Chubu,Nagano,Nagano,https://www.japan-guide.com/e/e6000.html,Former olympic city famous for its temple.,3.5,1766,0.7291666666666667,0.14456450556647021,0.43686558611656845,0.32372588545077496,0.7733607563850688
Chubu,Nagano,Takato Castle Park,https://www.japan-guide.com/e/e6065.html,Castle ruins covered by cherry trees.,4.0,35,0.8333333333333334,0.002865094957432875,0.41809921414538315,0.2932185931019428,0.8906638834315652
Chubu,Nagano,Nozawa Onsen,https://www.japan-guide.com/destinations/nozawa-onsen/,Old fashioned hot spring and ski resort.,3.8,230,0.7916666666666666,0.01882776686313032,0.4052472167648985,0.2867717883649858,0.8579936149312377
Chubu,Nagano,Obuse,https://www.japan-guide.com/e/e6020.html,Pleasant town famous for chestnuts and Hokusai.,3.8,125,0.7916666666666666,0.010232481990831696,0.40094957432874917,0.2823487980244488,0.8610019646365421
Chubu,Nagano,Norikura,https://www.japan-guide.com/e/e6045.html,Mountain and highland in the Northern Japan Alps.,3.7,110,0.7708333333333334,0.009004584151931892,0.3899189587426326,0.2743033385177909,0.8478900622134906
